Data;DTP - 01 ano(1º REF);Poliomielite(VOP/VIP)(1ºREF);FA(< 1 ano);Varicela;Tríplice Viral - D1;Rotavírus Humano;Pneumocóccica(1 ano);Menigocócica Conj.C(< 1 ano);Pentavalente (< 1 ano);Tríplice Viral - D2;Hepatite A;Pneumocóccica(<1 ano);BCG;Menigocócica Conj.C(1 ano);Poliomielite(< 1 ano);População;Região
01/09/2015;71,07;43,08;77,22;46,05;76,82;87,74;72,66;96,67;84,96;45,86;74,24;86,95;66,3;76,82;79,4;6045;318 - AMOSC - CHAPECO
01/04/2019;69,35;75,32;69,07;75,04;87,54;78,45;92,66;86,69;89,82;75,89;77,88;86,4;107,72;97,49;90,67;4222;323 - AMURES - LAGES
01/08/2018;112;101,26;68,09;71,36;125,31;104,76;152,29;100,32;117,37;82,34;142,13;110,48;91,21;105,34;106,74;10275;315 - AMFRI - ITAJAI
01/12/2016;44,85;50,88;0;48,33;47,29;52,15;44,39;53,54;52,85;47,52;49,95;54,01;77,54;41,72;51,81;10354;321 - AMUNESC - JOINVILLE
01/10/2022;99,07;96,12;87,17;101,31;98,6;100,01;89,29;112,97;102,95;102,37;104,01;106,72;77,39;82,34;103,43;10187;317 - AMMVI - BLUMENAU
01/11/2015;83,24;28,58;0;59,67;80,23;98,79;76,22;111,32;102,3;52,15;45,63;104,81;99,29;78,73;89,76;2393;314 - AMESC - ARARANGUA
01/03/2015;95,26;86,97;107,11;79,86;112,09;124,41;99,05;144,55;123,46;77,25;126,07;118,96;151,18;105,69;129,62;5064;319 - AMPLA - MAFRA
01/05/2019;91,83;88,2;87,84;102,36;99,27;96,01;97,82;98,73;100,73;102,36;100,73;97,46;121,05;98;100,18;6612;318 - AMOSC - CHAPECO
01/03/2018;76,91;76;32,31;63,71;86,46;68,26;84,19;79,18;48,69;75,09;78,27;70,53;116,95;85,55;77,82;2637;314 - AMESC - ARARANGUA
01/11/2021;80,06;80,06;73,58;87,12;100,07;86,24;89,18;88,01;95,36;69,76;86,83;89,48;78,59;93,6;93,6;4077;312 - AMAVI - RIO DO SUL
01/04/2021;120,2;105,74;89,01;40,26;96,95;90,43;102,34;88,16;99,22;46,78;70,02;104,61;102,62;75,97;77,39;4233;310 - AMARP - VIDEIRA
01/04/2018;57,74;59,15;43,3;61,7;80,09;70,47;73,58;74,43;80,38;62,55;59,72;74,15;29,43;78,96;63,68;4240;323 - AMURES - LAGES
01/02/2019;76,95;79,17;109,41;77,39;92,96;78,72;85,84;108,97;92,96;77,84;84,06;76,5;83,62;92,07;89,4;2698;314 - AMESC - ARARANGUA
01/03/2016;69,31;53,6;95,19;75,78;92,65;97,5;73,24;97,73;100,96;77,4;48,29;100,73;108,36;93,57;95,42;5194;319 - AMPLA - MAFRA
